park,region,2010-01-01,2010-02-01,2010-03-01,2010-04-01,2010-05-01,2010-06-01,2010-07-01,2010-08-01,2010-09-01,2010-10-01,2010-11-01,2010-12-01,2011-01-01,2011-02-01,2011-03-01,2011-04-01,2011-05-01,2011-06-01,2011-07-01,2011-08-01,2011-09-01,2011-10-01,2011-11-01,2011-12-01,2012-01-01,2012-02-01,2012-03-01,2012-04-01,2012-05-01,2012-06-01,2012-07-01,2012-08-01,2012-09-01,2012-10-01,2012-11-01,2012-12-01,2013-01-01,2013-02-01,2013-03-01,2013-04-01,2013-05-01,2013-06-01,2013-07-01,2013-08-01,2013-09-01,2013-10-01,2013-11-01,2013-12-01,2014-01-01,2014-02-01,2014-03-01,2014-04-01,2014-05-01,2014-06-01,2014-07-01,2014-08-01,2014-09-01,2014-10-01,2014-11-01,2014-12-01,2015-01-01,2015-02-01,2015-03-01,2015-04-01,2015-05-01,2015-06-01,2015-07-01,2015-08-01,2015-09-01,2015-10-01,2015-11-01,2015-12-01,2016-01-01,2016-02-01,2016-03-01,2016-04-01,2016-05-01,2016-06-01,2016-07-01,2016-08-01,2016-09-01,2016-10-01,2016-11-01,2016-12-01,2017-01-01,2017-02-01,2017-03-01,2017-04-01,2017-05-01,2017-06-01,2017-07-01,2017-08-01,2017-09-01,2017-10-01,2017-11-01,2017-12-01,2018-01-01,2018-02-01,2018-03-01,2018-04-01,2018-05-01,2018-06-01,2018-07-01,2018-08-01,2018-09-01,2018-10-01,2018-11-01,2018-12-01,2019-01-01,2019-02-01,2019-03-01,2019-04-01,2019-05-01,2019-06-01,2019-07-01,2019-08-01,2019-09-01,2019-10-01,2019-11-01,2019-12-01
Lac du Bois Grasslands Protected Area,tc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,312,1137,991,523,288,159,99,0,0,0,0,0,0,0,165,279,234,389,400,1467,0,0,0,0,0,0,416,541,293,531,310,572,0,0,0,662,1143,931,1085,387,406,1047,758,326,344,140,8,12,8,1964,3338,2872,1825,484,410,649,0,0,0,0,0,0,0,0,0,0,0,0,0
Lac La Hache Park,tc,0,0,0,0,2817.8,9988.9,27211.1,13981.7,5564.4,0,0,0,0,0,0,0,3463.4,8091.1,13099.8,17357.8,8247.8,0,0,0,0,0,0,0,4202.9,13909.6,17032.7,14370.8,4619.4,0,0,0,0,0,0,0,2637.4,8480.1,13584.1,11725.8,5624.1,0,0,0,0,0,0,0,5788.1,7614.5,11239.9,11311.1,8539.4,0,0,0,0,0,0,0,1377.5,10576,16923.2,13707.2,7701.2,0,0,0,0,0,0,0,4713.5,8521.2,13319.3,16085.9,5469.2,0,0,0,0,0,0,0,5683.1,12723.7,5545.9,2516.1,6942,0,0,0,0,0,0,0,5474.2,10564.8,12657.9,11353.3,6660.4,0,0,0,0,0,0,0,5439.6,10834.8,10981.2,11514.6,6533.1,0,0,0
Lac Le Jeune Park,tc,0,0,0,0,7034.9,13214.2,28183.5,22098.8,7290.3,3521.9,0,0,0,0,0,0,6080.6,15579.4,27868.5,25221.3,11069.4,2691.5,0,0,0,0,0,0,6927.2,12756.2,31860.8,29661.1,9955.8,1557.5,0,0,0,0,0,0,8852.5,14414,32933.9,27986.9,10336.5,2555,0,0,0,0,0,0,7400.5,18064.3,33842.3,29768.2,10665,0,0,0,0,0,0,0,9610.5,20931.2,31725.6,34910.4,11480.2,0,0,0,0,0,0,0,9810.4,19137.3,18390.4,29634.1,12532.5,479.5,0,0,0,0,0,0,9285.5,18320.8,17585.5,24154.2,12649.3,0,0,0,0,0,0,0,9050,19436,22617.1,28898.3,11272.7,0,0,0,0,0,0,0,9793.6,19575.9,18970.8,29101.3,11338.8,0,0,0
Lakelse Lake Park,north,1564.5,1477,2964.5,6447,21685.8,28571.8,57285.9,50200.9,12720,3636.5,1942.5,1085,2436,1375.5,2709,2936.5,17204.9,23870.1,32193.2,38392.8,20464.6,2401,2779,1561,2383.5,3577,5673.5,6674.5,18857.7,22684.4,67374.2,48324.1,15285.7,5057.5,1998.5,4326,1725.5,1792,0,7399,17960.2,34990.4,67157.3,50889.3,20656,4770.5,1960,3300.5,4907,0,0,0,29589,39823.9,53709.3,57153.1,8438.3,1697.5,1123.5,1522.5,0,0,0,0,37519.6,48312.2,65708.4,35112,11495.7,2534,0,0,0,0,0,0,32417.9,47014.7,56317.6,53247.1,13145.4,0,0,0,0,0,0,0,35405.8,43942.1,52822.8,47226.1,13609.2,0,0,0,0,0,0,0,30166.6,44924.1,60337.4,54510.1,11441.5,0,0,0,0,0,0,0,34182.7,45970.5,52638,49105.6,17566.2,0,0,0
"LAU,WELNEW/John Dean Park",west,0,0,2366,4382,4830,4613,5404,5085.5,4196.5,4732,0,0,0,0,2194.5,4483.5,4497.5,4532.5,5348,5411,4161.5,4301.5,0,0,0,0,2345,5103,4840.5,4844,5498.5,5491.5,5068,4389,0,0,0,0,3192,3307.5,6289.5,5582.5,6254.5,5628,4910.5,5036.5,0,0,0,0,2782.5,5960.5,5505.5,5848.5,5512.5,6331.5,5698,4476.5,0,0,0,0,6156.5,6167,6727,5355,1652,304.5,5946.5,5421.5,0,0,0,0,8029,7070,7287,6520.5,7497,4417,6212.5,5225.5,0,0,0,0,3143,7924,6464.5,6440,7864.5,311.5,2712.5,6261.5,0,0,0,0,3930.5,7381.5,7521.5,10370.5,4795,528.5,3934,4938.5,0,0,0,0,3433.5,6888,7483,7269.5,7780.5,7927.5,7514.5,7301,0,0
Liard River Hot Springs Park,north,437.5,633.5,1711.5,2536.8,12421,24795.7,24912,23158,16474.4,2987.4,1067.5,710.2,818.4,0,2443,2434.5,9627.7,25458.1,27552.3,22249.9,13467.3,2961.5,0,0,0,0,0,0,5027.2,8210.3,10144.1,10365.8,7999.8,3849.6,1393.5,798,962.5,3157,4910.6,4553.8,5958.1,13951.6,13711.5,13193.4,8058.5,2906.5,1289.1,759.5,1869,2061.5,3881.2,3881.2,6422.5,22924.8,25834.9,26205.6,14712.5,6416,1547.5,1953,1715,1946,4483.5,0,13512.6,20078.1,21732.5,7754,12767.9,4597.8,2299.7,1865.5,1871.9,1903.4,4445,8171.3,17882.9,22986.5,23274.2,22941.6,16161.3,6502.5,2454.1,1903.4,1745.9,2290.7,4087,5589.4,16171,27311.6,29282.4,23720.1,17452.9,6291.6,2134.6,1933.1,1808.3,2047.5,4475,7630.9,14399.2,24835.8,26744.8,24634.8,17216.3,8110.9,3204.7,2414.2,2279.5,1861.9,4854.4,8446.5,17343.9,25267.4,25162.4,20543.4,17023,9270.8,2034.8,80
Little Qualicum Falls Park,west,8967,7805,23912,12775.5,25002.5,32176.6,49458.8,44210.6,31488.6,14833,10192,6412,8809.5,7588,9908.5,10381,11869.7,22229.1,43538.3,41807.6,25458.2,12754,6370,7654.5,6622,7966,13601,14448,21903.9,26559.5,38376.5,47668.2,27847.2,14672,5778.5,7840,9117.5,9919,15172.5,16716,25035.9,19125.4,35411.8,52741.3,32557.6,15585.5,11126.5,7682.5,10825.5,7378,11364.5,16359,24067.5,70431.1,56184.8,55284.6,40870,14679,18462.5,13191.5,18308.5,16096.5,19047,17871,33625.8,38718.7,64823.5,53682.8,32344.4,18928,4571,18298,12187,10591,37278.5,22213.4,32672.3,32296,61514.1,62155.5,42081.2,26593,14735,10097.5,9128,10584,7493.5,19802.2,39159.1,41926.9,67457.7,67349.3,48671.1,26206,8393,13240.5,14833,12110,16877,25800.5,33390,42443.7,64964.2,45120.4,27403.6,20555.9,9894.5,9023,6366.5,3626,8473.5,12008.5,8431.5,20170.1,58354.7,66399,32935.5,20856.2,10360,0
Lockhart Beach Park,ok,0,0,0,0,1639.4,2055,6501.1,6498.4,3102.2,0,0,0,0,0,0,0,965.3,1503.3,6076.3,4046.7,2328.8,0,0,0,0,0,0,0,639.2,899.6,2049.3,4035.8,1206.2,0,0,0,0,0,0,0,678.7,572.8,2272.3,2611.1,2004.2,0,0,0,0,0,0,0,657.2,3070.4,3439.9,2562.4,1564.3,0,0,0,0,0,0,0,2773.7,1496.1,2466,1744.6,1444.7,0,0,0,0,0,0,0,1310.9,2029.5,2293.2,2358.6,1174.9,0,0,0,0,0,0,0,1448.7,1304.1,2855.3,2205.2,2107.1,0,0,0,0,0,0,0,1652.2,1460.5,2293.6,2092.9,1204.3,0,0,0,0,0,0,0,1564.2,2552.2,4172,2548.6,3123.2,0,0,0
Loveland Bay Park,west,0,0,0,0,943.2,2502.2,4940.8,3420.6,1168,0,0,0,0,0,0,0,793.6,1555.2,2934.4,2854.4,1203.2,0,0,0,0,0,0,0,719.4,1521.2,3437.4,2806.4,1612,0,0,0,0,0,0,0,782.6,1654.6,4092.2,4211,1258.8,0,0,0,0,0,0,0,980.2,1969.8,4107.6,4009.4,1504.6,0,0,0,0,0,0,0,981.6,2364.4,5582.6,3489.2,1299,0,0,0,0,0,0,0,1112.8,2615.2,3738.8,3746.2,832.4,0,0,0,0,0,0,0,1340.8,2045.2,3780.8,3608.6,1062.8,0,0,0,0,0,0,0,1468.6,2196,4055.8,3743.6,972.8,0,0,0,0,0,0,0,1847.6,2500.8,4047.6,3944.6,1140.4,0,0,0
Mabel Lake Park,ok,0,0,0,5651.8,7365.3,7441.8,22702.7,22368,5708.4,1369.8,0,0,0,0,0,2717.3,8580.1,7738,20547.9,24615,6298.6,1244.3,0,0,0,0,0,2235,9248.4,5810.5,17528.6,26025,6316.1,1283.1,0,0,0,0,0,3502.6,9013.7,7493.3,20642.1,25690.9,8089.8,1317.1,0,0,0,0,0,2848.3,8037.1,8140,20805.8,23448.7,9883.9,716.8,0,0,0,0,0,5562.4,10418.9,14458.3,21385.3,23039.1,9127.3,1706.6,0,0,0,0,0,5482.1,16480.3,11201.2,23885.3,24647.2,8550.5,1504.4,0,0,0,0,0,3878.5,11185.5,11861,25304.4,24206.6,8015.9,1654.6,0,0,0,0,0,1118.3,13095.6,12729.7,25370.5,18257.2,5626,921.8,0,0,0,0,0,4471.2,13350.5,11626.7,19791.7,22390.8,7491.2,1291.7,0,0
Macmillan Park,west,5519,6993,20177,20065,45192,59993,154892,141841,61659,10517,8512,6755,8578,8197,14577,14682,40383,62807,98241,139961,61568,35847,12897,8396,6489,10661,20331,22395,42938,34051,100418.5,108031,63130,31938,6181,10210,9748,13381,12607,15659,42476,19653,86548,130662,75313,25113,6363,9603,6398,7676,11210,21508,28284,53319,61691,70578,43642,11863,8038,7501,10010,18298,14299,18851,48080,24371,85079,95400,55213,33845,11498,9051,8659,14113,28091,17633,48724,68681,91595,97325,66878,34969,9125,8243,6542,13164,20317,18484,76871,62283,108223,110558,71523,33849,8901,6248,8988,23380,14427,19863,50687,58975,88179,66571,64435,38478,11319,7725,5646,6213,9405,15117,42588,46116,43743,42357,26415,39536,45129,0
Main Lake Park,west,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,432.3,439,298,22,0,0,0,0,0,0,0,352.5,258.8,682.5,682,131.2,0,0,0,0,0,0,0,93,479.9,543,834.8,43.4,0,0,0
Mansons Landing Park,west,0,0,0,0,775,2292.8,10090.8,11207.2,1843.6,0,0,0,0,0,0,0,1404.8,2422,4332.4,14167.8,3915.8,0,0,0,0,0,0,0,525.4,981.4,4796.8,17633.6,3056,0,0,0,0,0,0,0,2565.8,1825.2,13806.4,11248.4,2041.6,0,0,0,0,0,0,0,3171.2,1898,9012.2,12001.2,1470.8,0,0,0,0,0,0,0,4014.8,4482.6,10468.2,13379.8,2566.8,0,0,0,0,0,0,0,1440.8,2020.4,9409.2,13606.2,2618,0,0,0,0,0,0,0,2053.4,3623.2,12999.1,20944.9,5802.5,0,0,0,0,0,0,0,491.2,1899.8,7731,9878.4,2433.2,0,0,0,0,0,0,0,2712.6,3358.4,14530.8,13647.6,1946.4,0,0,0
Maquinna Marine Park,west,154,402,910,1207,2485,3230,5649,6181,2971,1442,322,332,381,336,658,1603,2012,3304,6114,6912,3104,1627,241,486,241,231,801,1603,2034.4,2609.2,4806.6,5654.8,3575.4,2685,867,396,257,323,790,1444.2,2150.6,3364.6,4513.4,6324.4,2369.6,1921.2,477,405,398,297,923,916.4,1742,2156,5109.2,7765.8,1536,3154,854,410,973,903,1033,1593,3212.6,5722,10517.2,15168.4,2547.4,2693.4,1853,403,767,506,915,1477,4174.6,8599,6745.4,7325,4213,2624,1061,406,722,938,957,1290,1742,1619.6,441.6,1249.8,781.8,1211.6,570.2,409.2,246.2,196.2,255.2,1456.2,3021.4,5282.6,3290.2,4058,2460,2128,1160,0,254.4,196.2,261.6,7.4,4.2,4.2,4.2,1,1,1,0,0
Mara Park,ok,0,0,0,0,3297,10325,15340.5,14920.5,4805.5,0,0,0,0,0,0,0,4109,4844,14535.5,14602,5855.5,0,0,0,0,0,0,0,5159,10797.5,10430,14833,5589.5,0,0,0,0,0,0,0,4546.5,4613,14679,14385,6013,0,0,0,0,0,0,0,3213,4259.5,14980,14476,5246.5,0,0,0,0,0,0,0,5589.5,9254,16313.5,14231,4448.5,2548,1725.5,0,0,0,0,3871,5460,17489.5,15477,16719.5,4060,0,0,0,0,0,0,0,7210,15939,18028.5,19743.5,4585,0,0,0,0,0,0,0,6261.5,11735.5,15337,12558,8848,0,0,0,0,0,0,0,6184.5,9415,11417,15417.5,7045.5,0,0,0
Marble Canyon Park,tc,1449,1585.5,2467.5,2828,8601.1,10863.2,16601.2,13567.4,10687.7,4945.5,1249.5,521.5,1099,903,966,1146.2,7240.2,11219.8,15524.8,14745.6,12272.6,4221,1655.5,546,1277.5,1736,1865.5,3773,7540.2,10073.3,17596.1,18592.8,10574.6,4382,1816.5,1571.5,948.5,1025.5,1732.5,3853.5,10103.2,10065.8,16597,16970.7,11648,4235,2453.5,1988,0,0,0,0,7457.2,12053.4,15962.5,18505.9,13091.6,0,0,0,0,0,0,0,9958.7,6028.7,8687.8,21583.1,10702.3,0,0,0,0,0,0,0,10974.6,9143.2,12506.6,23339,8041.6,0,0,0,0,0,0,0,10398.5,9423,12146.7,10120.1,15355.5,0,0,0,0,0,0,0,12661.3,14874.2,11867,10767,17631.4,0,0,0,0,0,0,0,12754.1,18268.8,11670.1,12127.8,8979.4,0,0,0
Martha Creek Park,ok,0,0,0,0,3576.4,5283.2,11695.2,8413.2,4430.2,0,0,0,0,0,0,0,4061.2,3848.3,14297.2,8638.7,4315.4,0,0,0,0,0,0,0,2915.8,3633.9,9795,8885,2748.3,0,0,0,0,0,0,0,3160,6271.4,14293.9,12660.4,4736.3,0,0,0,0,0,0,0,780.8,7836.9,13338.5,13422.7,4591.5,4591.5,0,0,0,0,0,0,5739.3,9597.2,16202.4,14212.9,5194.3,0,0,0,0,0,0,0,5454,8038.7,15691.5,16709.9,5809,0,0,0,0,0,0,0,5875.1,9563.4,19292,16210.7,7356.4,0,0,0,0,0,0,0,8850.8,12317.1,24301.1,20229.7,7842.9,0,0,0,0,0,0,0,9237.3,15405.7,27615.2,28660.2,10755.8,0,0,0
McConnell Lake Park,tc,0,0,0,0,2180.5,4651.5,6317.5,4963,3216.5,2957.5,0,0,0,0,0,0,2212,4571,5824,4707.5,2555,2233,0,0,0,0,0,0,3584,4221,6849.5,4473,5162.5,1302,0,0,0,0,0,0,2768.5,5939.5,7871.5,4214,4396,2163,0,0,0,0,0,0,3811.5,7413,7024.5,6121.5,4028.5,0,0,0,0,0,0,0,2859.5,8151.5,8281,7003.5,3241,0,0,0,0,0,0,0,3528,4707.5,4032,6975.5,3304,1774.5,0,0,0,0,0,0,4371.5,5204.5,6723.5,3419.5,5946.5,0,0,0,0,0,0,0,2779,6020,6345.5,5799.5,4165,0,0,0,0,0,0,0,3559.5,5309.5,5698,5397,4473,0,0,0
McDonald Creek Park,ok,0,0,0,0,2539.6,5114.1,12893.8,7498,5297.9,0,0,0,0,0,0,0,2764.1,4574.3,10126.4,12023.1,7522.5,0,0,0,0,0,0,0,3859.9,4259.5,10549.8,10739.5,5647.4,0,0,0,0,0,0,0,2209.3,4295.8,9188.3,10453.7,5105.1,0,0,0,0,0,0,0,1957.5,9880.1,5720.5,10142.5,4850.3,0,0,0,0,0,0,0,3331,5901.1,10827,11398.5,5272.1,0,0,0,0,0,0,0,3960.1,5488.3,11088.8,11864.2,5474.7,0,0,0,0,0,0,0,3351.7,6181.8,11158.9,10613.5,6056.6,0,0,0,0,0,0,0,5548.9,10909.7,20092,19297.7,5147.8,0,0,0,0,0,0,0,8777.5,18724.9,28793.9,30895.6,10360,0,0,0
Meziadin Lake Park,north,0,0,0,0,2816.8,4917.9,8491.9,7461.2,2167.1,0,0,0,0,0,0,0,1400.2,4668.4,9109.6,9260.5,2667.8,0,0,0,0,0,0,0,1548.7,3957.2,7656.9,8503,3803.5,0,0,0,0,0,0,0,2250.5,5188.9,9115.7,9967.3,3846.5,0,0,0,0,0,0,0,3052.3,4322.8,8354,8653.7,4196,0,0,0,0,0,0,0,4454,8111.4,13891,14388.9,4920.2,0,0,0,0,0,0,0,4673.2,11530.5,15855.7,14555.1,5642.8,0,0,0,0,0,0,0,3340.9,6357.4,18418.8,14774.1,8222.4,0,0,0,0,0,0,0,3794,9774.9,10826.9,11471.8,5882.6,0,0,0,0,0,0,0,7382.5,5912,9711,14397.3,6016.7,0,0,0
Miracle Beach Park,west,2487,3168.9,3690.5,3900.9,4571.9,12281.4,33279,30398.2,8714.7,3881.2,5294.2,2067.3,2831.2,2095.9,3109,3948.7,7320.8,12794,30706.5,33166.1,11327.9,4191.5,2086.5,1244.5,2295.4,2461.9,2910.2,4470.9,8983.9,5308.8,30670.2,35239.3,11387.3,3806.6,2658.3,2427.5,2203.8,2909,7803,7314,9608.7,13652.7,30260.7,33204.5,8779.5,4244.1,5854.4,3622.5,2423.7,3551.6,3685.2,6104.2,8483,12784.8,31040.7,34144.6,10244,4446.5,3110.3,3115.8,3981.5,5409.4,6197,7310,10092.3,15839,33298.4,30536.7,13794.5,7108.9,3829.2,1951.6,6270.7,4710.3,6273.1,4156.8,9479.4,19947.4,29994,37819.1,12487,4987,4673,2885.1,1666.6,1917.3,4386.8,5234.5,10467.6,16083.3,26965.3,29416.6,13287.8,7069.3,4193,3342.5,4203.5,4203.5,6620.6,6723.7,13902.8,15202.7,30110.5,33177.6,12389.1,6553.3,3710,2982,4655,3479,5125.4,5910.6,12679.2,20251.4,31758,34733.4,11868.6,6370.2,4007.5,0
Mitlenatch Island Nature Park,west,0,0,0,0,0,320,777.6,550.4,166.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,131.6,743.6,726.2,1608.4,1063.8,421.8,0,0,0,0,0,0,125.4,472.8,512.4,628,1601.4,645.2,0,0,0,0,0,0,162,791.4,507.2,677.6,906.6,420.8,0,0,0,0,0,0,155.2,805.4,616,672.4,1416,0,0,0,0,0,0,0,77.2,588.6,442.8,980.4,1408.6,0,0,0,0,0,0,40.8,75.4,654.2,774.4,797.2,1484,191.4,0,0,0,0,0,0,324,476.6,839.6,983.6,1540.8,426.8,0,0,0
Moberly Lake Park,north,0,0,0,0,3353.1,10298.6,19480.7,12501,1514.1,0,0,0,0,0,0,0,5367.6,5101.9,9802.1,8321.7,2751.9,0,0,0,0,0,0,0,10616.3,6171.4,14001.6,13084.1,1188,0,0,0,0,0,0,0,4301.8,7222.9,10915,14385.2,971.5,0,0,0,0,0,0,0,5511.1,13612.6,12449.7,19620.8,336,0,0,0,0,0,0,0,4773.8,7249.6,13096.3,10426.5,2314,0,0,0,0,0,0,0,4811,4367.1,12126.8,5548,971.9,0,0,0,0,0,0,0,3691.9,8857.1,14037.4,14469.8,3367.2,0,0,0,0,0,0,0,4776.4,7806.9,10126.2,9031.2,908.6,0,0,0,0,0,0,0,4549,12982.3,9642.5,8179.6,1267,0,0,0
Momich Lakes Park,tc,0,0,0,0,2227.2,1920,992,4672,960,0,0,0,0,0,0,0,1836.8,8028.8,3276.8,4720,1072,0,0,0,0,0,0,0,1100.8,790.4,700.8,2377.6,579.2,0,0,0,0,0,0,0,1433.6,1065.6,729.6,3200,729.6,0,0,0,0,0,0,0,1318.4,1408,1478.4,1683.2,1049.6,0,0,0,0,0,0,0,1452.8,1555.2,1606.4,1964.8,1158.4,0,0,0,0,0,0,0,1126.4,1638.4,1798.4,2188.8,1366.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Monashee Park,ok,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,81,200,79,30,19,0,0,0,0,0,0,0,50,153,209,83,6,0,0,0,0,0,0,6,112,186,283,87,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Monck Park,tc,0,0,0,0,3782.5,6467.6,11734.1,9568.4,5126.6,0,0,0,0,0,0,349.6,2401.7,5929.8,12806.8,9699.9,5590.3,0,0,0,0,0,0,360.9,6740.4,5254,12447,16431.7,5690.1,1347.5,0,0,0,0,0,745.5,4722.6,5993.4,12138.6,11706.9,4868.3,1092,0,0,0,0,0,756,5166.9,7727.3,16520.5,16059.5,3020.8,0,0,0,0,0,0,0,8695.9,10743.4,14131.7,19695.6,8006.9,0,0,0,0,0,0,276.3,5763.6,15910.9,16914.9,22622,14237.5,0,0,0,0,0,0,0,5344.1,10073.9,15487.8,18763.9,6765.6,0,0,0,0,0,0,0,6387.6,8767.6,14115.5,20110.7,5618.4,0,0,0,0,0,0,0,6293,9462.3,15959.6,21539,6708.1,0,0,0
Monkman Park,north,0,0,0,0,225.4,4319,6566,10254.5,1148,0,0,0,0,0,0,0,0,3976,0,11126.5,819,0,0,0,0,0,0,0,345.6,6749.9,4219.4,3469.3,353.5,0,0,0,0,0,0,0,54.4,4781.8,4190,4874.1,2021.2,0,0,0,0,0,0,0,2133,8422.5,27707.1,19346.8,38.4,0,0,0,0,0,0,0,2208.8,6574.7,12813.4,10249.3,92.8,92.8,0,0,0,0,0,0,4492.5,2307.6,11132.9,4311.9,5680.5,5964,0,0,0,0,0,0,2595,9002,1998.5,3101.5,0,0,0,0,0,0,0,0,2453,2685.5,3578.2,3921.2,1986.2,0,0,0,0,0,0,0,2155.9,2891.1,4010,4650.3,2603.5,0,0,0
Montague Harbour Marine Park,west,2565.5,3720.5,4042.8,4628.2,8377.9,10786,20288.8,18990.9,7690.9,3987.5,2333.9,2058,2191,2947,3703.1,4557.8,5666.9,9373.1,16647.9,14609.1,9311.2,3981.5,2520,2203.8,2233,3146.5,3918.5,4383,8691.1,10033.4,21259.5,19744.7,9915.1,4894,3416,2969.7,2369.5,4142.2,5127,4835.7,8383.2,11712.4,17819.3,19714.2,8058,4240,2791.8,2865.3,5600,1505,3638.7,518.2,7872,8890.6,16882.3,18723.9,6917.1,4182.8,1164.9,1238.7,2428.4,2406.5,2876.5,6135.3,17024.4,14436.3,16578.4,20802.1,9722.2,4812.4,2604,2361.3,2543.6,2449.4,4777.5,6942.8,10618.1,11457.1,19171.8,17454.8,11166.5,5053.8,3464.7,3097.5,3278.3,3464.3,5104.9,5536.4,9244.9,13535,22237.1,20065.6,12326.3,5494.2,3422.4,4458.6,4491,2858.9,4351.7,5721.8,14096,17455.4,27793.5,29083.6,13815.4,8462.2,5023.9,4107.8,5397.2,4064.6,9883.4,9058.6,15027.3,18935.4,26809.7,29609.4,12899.8,7523.4,5603,0
Morden Colliery Historic Park,west,1319.5,987,3398.5,2289,917,2166.5,2940,2117.5,2345,2341.5,1207.5,1183,1435,2866.5,1998.5,2275,4480,1417.5,1561,2681,4238.5,808.5,1109.5,885.5,1109.5,1477,1148,679,1624,2292.5,2544.5,2509.5,1995,1193.5,1277.5,1883,1676.5,1683.5,4819.5,1746.5,2341.5,1960,2481.5,3122,2432.5,2583,1809.5,1494.5,2054.5,1466.5,1963.5,2590,3829,3132.5,2863,2551.5,2422,2828,1991.5,1662.5,1851.5,6594,2621.5,4067,6356,2460.5,1932,2684.5,2180.5,2394,1795.5,1760.5,1295,385,1963.5,2782.5,4546.5,2359,3048.5,3356.5,2478,2495.5,2040.5,1043,1666,3426.5,3111.5,2135,4000.5,3206,2579.5,3573.5,3388,2572.5,2404.5,157.5,1715,3272.5,2509.5,3031,3486,3500,3930.5,4574.5,1788.5,2397.5,1795.5,1487.5,1557.5,98,2016,1085,0,735,2887.5,3279.5,4056.5,2789.5,2674,0
Morton Lake Park,west,0,0,0,0,1305.8,1124.5,4182.4,3301.3,969.8,0,0,0,0,0,0,0,410.5,748.3,1789.3,1989,940.5,0,0,0,0,0,0,0,740.6,863.2,3329.9,3196.6,1237.4,0,0,0,0,0,0,0,779,2624.6,5347.5,5004.4,1108.7,0,0,0,0,0,0,0,1515.9,1343,3219.8,3250.1,1089.7,0,0,0,0,0,0,0,1503.1,2015.1,3048.8,2140.2,879.5,0,0,0,0,0,0,0,1118.8,1723.6,3131.3,3228.7,999.9,0,0,0,0,0,0,0,1272.4,1148.8,2935.8,2960.7,1274.4,0,0,0,0,0,0,0,766.2,1889.5,2745.7,2322.8,573.6,19.2,48,0,0,0,12.8,12.8,1271,2203.1,2712.8,3147.1,710.9,0,0,0
Mount Assiniboine Park,ok,6,273,817,88,0,574,6950,7573,2842,145,0,43,38,68,36,0,0,106,5370,7845,3336,112,0,6,3,98,202,0,0,221,6610,9606,5067,350,0,9,6,283,676,0,0,18,1684,2319,1838,209,0,42,0,295,922,0,0,548,9251,10931,4859,526,0,15,32,349,867,200,0,1990,11537,11301,5496,405,0,67,38,453,902,0,0,2356,15709,17054,7205,286,0,72,0,699,1275,114,0,1198,16159,11897,7031,2,0,29,0,671,981,83,0,1922,15297,14513,7757,0,0,55,11,644,851,0,0,1972,29557,33062,8544,2,0,0
Mount Edziza Park,north,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mount Erskine Park,west,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,68,165,113,39,186,277,105,5,7,4,6,4,135,159,263,641,322,281,26,5,6,6,5,124,169,172,240,245,233,223,124,13,2,0,0,41,131,158,273,176,145,173,65,12,0
