park,region,2010-01-01,2010-02-01,2010-03-01,2010-04-01,2010-05-01,2010-06-01,2010-07-01,2010-08-01,2010-09-01,2010-10-01,2010-11-01,2010-12-01,2011-01-01,2011-02-01,2011-03-01,2011-04-01,2011-05-01,2011-06-01,2011-07-01,2011-08-01,2011-09-01,2011-10-01,2011-11-01,2011-12-01,2012-01-01,2012-02-01,2012-03-01,2012-04-01,2012-05-01,2012-06-01,2012-07-01,2012-08-01,2012-09-01,2012-10-01,2012-11-01,2012-12-01,2013-01-01,2013-02-01,2013-03-01,2013-04-01,2013-05-01,2013-06-01,2013-07-01,2013-08-01,2013-09-01,2013-10-01,2013-11-01,2013-12-01,2014-01-01,2014-02-01,2014-03-01,2014-04-01,2014-05-01,2014-06-01,2014-07-01,2014-08-01,2014-09-01,2014-10-01,2014-11-01,2014-12-01,2015-01-01,2015-02-01,2015-03-01,2015-04-01,2015-05-01,2015-06-01,2015-07-01,2015-08-01,2015-09-01,2015-10-01,2015-11-01,2015-12-01,2016-01-01,2016-02-01,2016-03-01,2016-04-01,2016-05-01,2016-06-01,2016-07-01,2016-08-01,2016-09-01,2016-10-01,2016-11-01,2016-12-01,2017-01-01,2017-02-01,2017-03-01,2017-04-01,2017-05-01,2017-06-01,2017-07-01,2017-08-01,2017-09-01,2017-10-01,2017-11-01,2017-12-01,2018-01-01,2018-02-01,2018-03-01,2018-04-01,2018-05-01,2018-06-01,2018-07-01,2018-08-01,2018-09-01,2018-10-01,2018-11-01,2018-12-01,2019-01-01,2019-02-01,2019-03-01,2019-04-01,2019-05-01,2019-06-01,2019-07-01,2019-08-01,2019-09-01,2019-10-01,2019-11-01,2019-12-01
Gabriola Sands Park,west,105,528.5,1106,1134,976.5,1638,3059,3517.5,945,1043,52.5,455,399,21,0,504,325.5,787.5,4014.5,4914,1435,903,315,731.5,315,381.5,910,945,1158.5,1925,5831,7101.5,3073,1890,315,941.5,1038.5,1116.5,2009,84,1302,1269,6615,4483.5,2345,924,441,372,847,1102.5,2278.5,1141,527,2905,984,3927,3073,759.5,269.5,217,584.5,647.5,248,997.5,1438.5,5145,2248,4203.5,2730,651,441,196,217,304.5,446,1732.5,2849,2940,8204,5127.5,2030,584.5,126,315,217,175,983.5,819,2142,2467.5,8267,5981.5,2103.5,598.5,441,81,259,234.5,392,584.5,3384.5,2835,7668.5,7161,2394,298,661.5,263,129.5,245,1166,682.5,1953,1953,911,2212,1890,242,780.5,0
Garden Bay Marine Park,south,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Garibaldi Park,south,3241,2383,2996,0,3433,5733,15613,14752,8918,6702,2992,0,2922,2397,1428,2219,3073,7419,11745,15690,8525,5152,2933,0,0,0,0,2280,3161,7579,12023,15881,16918,5049,2331,2892,3150,3399,1560,2504,0,14146,13470,11530,13589,3519,4804,1845,1369,2911,2057,3360,3057,5540,10712,20121,17793,6472,4310,2744,3760,2879,1990,2118,8898,11662,17191,14606,10542,9460,3484,2141,2953,2959,3170,6724.5,10964.5,5357.5,19044,25684.5,13025.5,9277,4703,4320,4527,3468,3539,4242.5,7293,11182,22089,20366,15120,8857,3251,3499.5,3198.5,3781.5,4070.5,4418,10206,10634.5,24058,24562,16847.5,12776,4120.5,4219,4017,3888.5,4835.5,4173.5,10854.5,14445.5,24204,31219,20672,10275,6696.5,0
Gladstone Park,ok,0,0,0,0,11711,16796.5,39144,34044.5,21913.5,0,0,0,0,0,0,0,6818,7875,20023.5,20293,7521.5,0,0,0,0,0,0,0,5481,6195,18494,22449,5796,0,0,0,0,0,0,1134,6265,9240,17675,19439,5057.5,0,0,0,0,0,0,378,6055,7861,17430,19334,7010.5,0,0,0,0,0,0,567,5621,7315,16313.5,20503,5813.5,0,0,0,0,0,0,567,6534.5,8648.5,16187.5,20230,6093.5,0,0,0,0,0,0,0,5257,6566,16593.5,16996,5621,0,0,0,0,0,0,0,5386.5,6989.5,18287.5,15848,5733,0,0,0,0,0,0,0,5533.5,8725.5,14976.5,17444,5120.5,0,0,0
Golden Ears Park,south,18907,20086.5,25490.5,37842,56094.5,50806,121681,87566.5,35833,28808.5,13552,0,16509.5,13114.5,32277,29809.5,44485,53553.5,81679.5,104072.5,59969,26631.5,0,0,0,0,0,38839.5,56192.5,37842,96929,110243,64837.5,27632.5,23716,18385.5,17055.5,22725.5,59657.5,54418,59199,67564,130494,87370.5,49448,35815.5,20818,15841,25074,20520.5,29697.5,45342.5,65775.5,69797,121177,115332,76128.5,28493.5,25186,22690.5,29687,35637,43270.5,57715,89302.5,123578,118139,109172,54243,47971,28889,25637.5,31580.5,36011.5,51611,68565,85694,82652.5,126682.5,141298.5,57708,39049.5,25322.5,18371.5,23604,14990.5,32903.5,66199,101391.5,92736,150713.5,127750,83023.5,52286.5,25382,24804.5,24556,29218,45286.5,59367,107152.5,84640.5,165168.5,117320,64543.5,54418,39956,30093,48923,26950,55128.5,58131.5,89449.5,101969,124404,132650,69954.5,49224,34867,0
Goldpan Park,tc,0,0,0,42,3440.5,3527.5,6534,6093.5,4046,0,0,0,0,0,0,94.5,2985.5,3419.5,9894.5,5313,3167.5,0,0,0,0,0,0,553,6422.5,3111.5,4875.5,5908,6874,0,0,0,0,0,0,0,6436.5,2807,5061,5971,3853.5,0,0,0,0,0,0,0,3461.5,4473,6548.5,8372,11091.5,0,0,0,0,0,0,0,4574.5,6121.5,7462,8141,10118.5,0,0,0,0,0,0,668.5,4774,4854.5,7514.5,9838.5,8564.5,0,0,0,0,0,0,0,3822,5127.5,4305,4833.5,5085.5,297.5,0,0,0,0,0,0,4487,5365.5,3213,7605.5,7920.5,0,0,0,0,0,0,0,4361,5113.5,5008.5,7217,7189,0,0,0
Goldstream Park,west,30975,28045.5,29466.5,48163.5,53546.5,36715,57512,55331.5,43932,49577.5,64893.5,17517.5,19015.5,16723,23733.5,32984,34321.5,41835.5,56273,51096.5,46746,37621.5,57442,22876,20300,21721,33904.5,40876.5,45188.5,41849.5,52216.5,51677.5,42133,42294,71064,18662,21133,23184,26600,38521,40372.5,42882,61971,47054,47677,29921.5,81490.5,25578,25907,21385,20622,27786.5,46305,49378,58401,54537,50529.5,38468.5,75712,20867,24822,28374.5,46200,48223,46322.5,55849.5,46119.5,61722.5,46973.5,57179.5,74788,21994,27779.5,33456.5,34216,57368.5,49658,70854,64361.5,68929,56210,74539.5,84581,26628,33127.5,32599,34790,51796.5,52167.5,61838,68047,72061.5,51506,66423,70227.5,21966,26729.5,27398,43361.5,45832.5,54131,60938.5,73514,71858.5,52507,67865,71697.5,26841.5,30100,16562,38930.5,43998.5,40589.5,78036.5,78144.5,80766,52951.5,73640,82771.5,0
Gordon Bay Park,west,1554,1785,2261,2775.5,2401,4613,11543,11445,3500,2996,1708,1578.5,1046.5,2761.5,2117.5,1573.5,1953,7014,12957,13191.5,5288.5,2432.5,2453.5,962.5,1085,1354.5,2110.5,4182.5,6121.5,6195,9285.5,11392.5,6492.5,3111.5,822.5,850.5,2264.5,2065,3892,3307.5,5418,5572,10528,15781.5,5827.5,3318,3731,213.5,3566.5,420,1865.5,3024,3227,10528,15470,10864,1291.5,2660,1277.5,3916.5,1778,427,1382.5,3048.5,4788,7997.5,8760.5,19992,3615.5,6912.5,133,682.5,1904,1389.5,542.5,4886,6072.5,7892.5,8585.5,23992.5,8270.5,5197.5,4851,2453.5,308,1424.5,3776.5,3647,8974,5131,10444,9373,4529,3787,3804.5,1456,59.5,294,2863,4158,5810,4270,9516.5,7070,6142.5,3846.5,2930,3108,465.5,983.5,3699.5,5502,5652.5,8515.5,4746,10605,6104,4546.5,493.5,0
Gowlland Tod Park,west,462,1680,2184,2320.5,2838.5,2712.5,2660,2198,2684.5,2649.5,1949.5,1627.5,2103.5,1830.5,2317,2667,4746,2859.5,3507,2712.5,2593.5,2100,3104.5,791,1624,1652,2485,3258.5,5281.5,2772,2625,3489.5,2156,1984.5,1935.5,1505,2212,2226,2558.5,2793,2611,5218.5,2625,6499.5,5229,1365,987,224,1778,430.5,3955,3377.5,2838.5,14052.5,4102,2205,3325,1421,749,532,458.5,8617,3038,3475.5,3517.5,2219,2380,3398.5,3129,2947,2765,2453.5,896,6583.5,4714.5,3965.5,3713.5,3430,3034.5,2985.5,3899,3388,3244.5,3801,3139.5,3766,3402,5299,4525.5,4284,4914,4532.5,3969,4581.5,3160.5,2849,3815,3797.5,2219,3769.5,10367,4266.5,4364.5,3850,4788,4249,4361,2723,4200,5404,2894.5,4746,3668,4658.5,4480,4490.5,4469.5,4032,3528,0
Green Lake Park,tc,0,0,0,0,8092,17979.5,35542.5,22316,5274.5,0,0,0,0,0,0,0,6163.5,10776.5,27387.5,24962,4105.5,0,0,0,0,0,0,0,5316.5,19334,24783.5,25550,4329.5,0,0,0,0,0,0,0,8064,18641,38776.5,21616,5526.5,0,0,0,0,0,0,0,4977,18914,40187,22568,4924.5,0,0,0,0,0,0,0,8165.5,33799.5,42297.5,37975,13555.5,2695,0,0,0,0,0,0,8683.5,15466.5,24764,33021,14358,0,0,0,0,0,0,0,11385.5,15582,8849.5,0,0,0,0,0,0,0,0,0,9999.5,16849,22862,27482,11473,0,0,0,0,0,0,0,10027.5,15648.5,18795,30138.5,12701.5,0,0,0
Grohman Narrows Park,ok,0,0,0,0,4746,6615,2331,4130,371,0,0,0,0,0,0,0,5061,6947.5,7140,3423,5162.5,0,0,0,0,0,0,0,5320,6807.5,4707.5,4354,4851,0,0,0,0,0,0,0,5411,5054,5351.5,6279,4252.5,0,0,0,0,0,0,0,4046,4046,4998,6499.5,3237.5,0,0,0,0,0,0,0,6772.5,6790,7560,6727,10265.5,0,0,0,0,0,0,0,6181,6251,6569.5,9275,7609,0,0,0,0,0,0,0,8743,4700.5,8410.5,6132,7196,0,0,0,0,0,0,0,4977,7035,8571.5,5512.5,4417,0,0,0,0,0,0,0,5708.5,5152,9313.5,8137.5,5572,0,0,0
Gwillim Lake Park,north,0,0,0,0,4637.5,0,2159.5,7115.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1011.5,0,0,0,0,0,0,0,0,0,0,0,3678.5,6576.5,21584.5,4382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1977.5,2422,3356.5,2611,430.5,0,0,0,0,0,0,0,1232,1361.5,2534,2222.5,707,0,0,0
Hai Lake - Mount Herman Park,north,0,0,0,0,325.5,693,507.5,353.5,262.5,0,0,0,0,0,0,0,88,77,71,92,68,0,0,0,0,0,0,0,44,50,117,66,46,0,0,0,0,0,0,0,75,108,111,86,63,0,0,0,0,0,0,0,150,141,129,113,62,0,0,0,0,0,0,0,209,167,153,120,77,0,0,0,0,0,0,0,224,180,167,130,83,0,0,0,0,0,0,0,275,138,272,228,122,0,0,0,0,0,0,0,240,182,241,239,94,0,0,0,0,0,0,0,191,135,237,279,160,0,0,0
Hakai Conservation Study Area,tc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Halkett Bay Marine Park,south,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hamber Park,ok,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hathayim Marine Park [a.k.a. Von Donop Marine Park],west,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Height of the Rockies Park,ok,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Helliwell Park,west,1295,1137.5,1862,2765,2688,3888.5,11704,12551,5414.5,2800,1459.5,1988,2744,1473.5,1725.5,2551.5,3745,4109,11287.5,14703.5,6111,2373,1326.5,994,1785,1785,1449,3486,3874.5,5603.5,14091,17507,5250,3090.5,1246,826,497,1466.5,1529.5,2404.5,4007.5,5120.5,17430,16348.5,6499.5,4907,1134,2394,1302,1792,1949.5,3391.5,4172,4868.5,11599,14896,6996.5,3685.5,1235.5,2688,2331,2506,2324,3430,4861.5,5505.5,13436.5,15039.5,6048,3094,4543,2415,2222.5,2688,2467.5,3328.5,4917.5,6058.5,13608,16023,6499.5,3094,2443,2772,1771,1757,1722,3447.5,4735.5,5936,14752.5,17412.5,7486.5,4515,2996,2768.5,2345,2366,4378.5,4532.5,5628,6478.5,14896,17153.5,5652.5,3990,2698.5,2796.5,2383.5,2117.5,4980.5,4242,6076,7840,14973,16842,7416.5,3510.5,2908.5,0
Hemer Park,west,353,528,623,2208,542,962,1081,1302,1968,1519,784,574,707,847,2222,1620,357,213,966,2366,539,1057,668,500,668,731,816,258,413,448,1016,446,420,1326,482,912,1145,679,173,1106,407,1341,977,739,592,805,945,616,1085,602,763,998,5236,599,599,238,3055.5,167,623,581,781,2612,1496,861,739,553,560,882,882,707,683,903,721,861,305,791,1034,830,746,616,767,584.5,1362,865,1550,1617,1785,1953,868,840,746,515,791,749,501,1397,609,410,592,441,434,403,371,865,1211,1103,147,175,960,105,151,301,658,581,354,392,220,392,200,0
Herald Park,tc,0,0,0,0,6163.5,9267.5,25126.5,22589,5264,0,0,0,0,0,0,0,5417.5,9040,18806,24910,9121.5,0,0,0,0,0,0,0,5971,5470.5,22029,43191,3521.5,0,0,0,0,0,0,0,6037.5,5934,8110,15422,3410,186.5,0,0,0,0,0,0,5575.5,9702,21959,22165.5,6286,1365,0,0,0,0,0,0,6433,9494,22325,21199.5,6310.5,857.5,0,0,0,0,0,0,6004,9598,24992,36708,12547.5,4281.5,2745.5,1435.5,1473,933,2607.5,7430,10273.5,13254.5,28391,21464,10501.5,0,0,0,0,0,0,0,7935,9150,15658,20047,7488,0,0,0,0,0,0,0,11403,13877.5,30184,21798,11263,0,0,0
Horne Lake Caves Park,west,24,45,80,423,857,1470,2159,2744,749,343,66,49,42,157,115,227,717,1165,2733,2810,1018,553,252,129,84,59,122,3823.5,7493,21199.5,18942.5,16807.5,9262,6324.5,2017,1920.5,1416,3226,0,4421,7131,8870,11747.5,19812.5,7556,4187,2944.5,1568.5,2103,207,322,3948.5,6384,9434,16504.5,17010.5,5022,3876.5,2704,1694,2082,4140.5,4535.5,4824,7936,9379,17518.5,15476.5,16147,4205,2551,1741,1288,3376,3672,4962,6343.5,8672,3900,4065,6583,3581.5,2589,1261.5,1712.5,1579,3562,7128,14384,20283,20390,23552.5,7850.5,4953.5,2278.5,1538.5,1769,2540.5,5520.5,3975.5,9035,11243.5,18164,21731.5,5684.5,3783,2566,1866,2944,3179.5,5006.5,4975.5,8855.5,11685.5,14247,18607.5,7719,3784.5,0,0
Horsefly Lake Park,tc,0,0,0,0,1127,2306.5,6065.5,4497.5,850.5,0,0,0,0,0,0,0,1172.5,2912,6562.5,4665.5,1025.5,0,0,0,0,0,0,0,1554,2576,5355,9632,2705.5,0,0,0,0,0,0,0,829.5,2159.5,4697,4133.5,1256.5,0,0,0,0,0,0,0,997.5,2639,5204.5,4326,990.5,0,0,0,0,0,0,0,1057,2691.5,5145,4550,959,0,0,0,0,0,0,0,1137.5,2289,3916.5,3892,686,0,0,0,0,0,0,0,1505,2831.5,1676.5,1344,1060.5,0,0,0,0,0,0,0,1347.5,2436,3577,3262,903,0,0,0,0,0,0,0,1102.5,2516.5,4112.5,4907,1193.5,0,0,0
Huchsduwachsdu Nuyem Jees/Kitlope Heritage Conservancy,north,0,0,0,0,0,8,0,8,15,0,0,0,0,0,0,0,0,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Inkaneep Park,ok,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Inland Lake Park,south,0,0,0,0,1648,4046,5246,7735,1638,1347,0,0,0,0,0,0,1771,0,3444,7882,4375,1396,3241,2100,2026,1907,2992,3199,2660,3409,7311.5,7647.5,3738,3199,3342.5,8589,10377.5,3423,5631.5,5841.5,4802,8620.5,8718.5,13261.5,3251.5,3143,0,0,0,0,0,0,686,6293,7105,6814.5,3251.5,0,0,0,0,0,0,10223.5,3398.5,6401.5,13356,10832.5,3748.5,2569,1725.5,2002,976.5,1382.5,1204,2296,4567.5,5484.5,5393.5,5317.5,2905,1421,0,0,0,0,0,0,3983,1575,5096,9086,2338,2226,847,2023,3958.5,12323.5,1204,2733.5,4343.5,3475.5,6471.5,6475,2628.5,2075.5,1088.5,1669.5,1197,1277.5,1403.5,3167.5,4305,3174.5,6807.5,6436.5,2478,2219,0,0
Jackman Flats Park,north,0,0,0,0,1722,3979.5,6447,5236,3398.5,0,0,0,0,0,0,0,1760.5,3853.5,5785.5,3766,4084.5,0,0,0,0,0,0,0,1480.5,3797.5,4970,5036.5,3542,0,0,0,0,0,0,0,1463,3759,4728.5,5173,1862,0,0,0,0,0,0,0,1337,3647,4081,2821,3846.5,0,0,0,0,0,0,0,1557.5,4095,4994.5,4189.5,4102,0,0,0,0,0,0,0,1757,4896.5,5467,0,0,0,4061,3270,0,0,0,0,1551,4213,4849,3691,3740,0,0,0,0,0,0,0,1622,4401,5103,3980,3703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JÁJI7EM and KW'ULH MARINE PARK [a.k.a. Sandy Island Marine Park],west,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
James Chabot Park,ok,0,0,0,0,5365.5,2096.5,6352.5,5397,11028.5,0,0,0,0,0,0,0,3311,5383,8092,10377.5,6664,0,0,0,0,0,0,0,3111.5,4095,8750,22911,8834,0,0,0,0,0,0,0,2278.5,9558.5,21987,21266,8410.5,0,0,0,0,0,0,0,2901.5,6345.5,20986,18186,6531,0,0,0,0,0,0,0,2765,6667.5,20569.5,20790,7924,0,0,0,0,0,0,0,2649.5,7525,45874.5,54194,22799,0,0,0,0,0,0,0,2772,6846,45059,24654,4627,0,0,0,0,0,0,0,2730,10514,28234.5,21035,6986,0,0,0,0,0,0,0,2716,6779.5,14490,33292,17346,0,0,0
Jedediah Island Marine Park,west,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jewel Lake Park,ok,0,0,0,0,1400,1851.5,3097.5,2362.5,3314.5,0,0,0,0,0,0,0,266,2030,3241,2943.5,833,0,0,0,0,0,0,0,672,1372,2537.5,3164,714,0,0,0,0,0,0,0,896,1785,2737,1953,2261,0,0,0,0,0,0,0,1288,1316,2618,2474.5,1463,0,0,0,0,0,0,0,0,1344,2100,1977.5,1347.5,0,0,0,0,0,0,0,1109.5,1274,2929.5,3185,773.5,0,0,0,0,0,0,0,980,2072,3202.5,3916.5,1081.5,0,0,0,0,0,0,0,178.5,2625,2177,360.5,539,0,0,0,0,0,0,0,1281,1935.5,2257.5,2961,784,0,0,0
Jimsmith Lake Park,ok,0,0,0,0,13072.5,15452.5,22477,15274,10248,0,0,0,0,0,0,0,3671.5,11630.5,23779,21385,7388.5,0,0,0,0,0,0,0,3090.5,7605.5,30614.5,21346.5,598.5,0,0,0,0,0,0,0,8680,0,33484.5,17115,6076,0,0,0,0,0,0,0,11123,12075,32438,18294.5,4690,0,0,0,0,0,0,0,14161,19635,20471.5,18634,3790.5,0,0,0,0,0,0,0,11322.5,13583.5,19012,20912.5,8284.5,0,0,0,0,0,0,0,12201,15470,23975,19281.5,5589.5,0,0,0,0,0,0,0,12561.5,11410,25609.5,19610.5,5890.5,0,0,0,0,0,0,0,12029.5,13860,22865.5,20912.5,10493,0,0,0
Joffre Lakes Park,south,0,0,0,0,1575,8750,17500,17850,10500,4725,0,0,0,0,0,0,1050,5250,17500,17850,10850,0,0,0,0,0,0,0,1050,5250,6123,10440,10060,1781,0,0,0,0,0,0,1750,5544,10213,10986,6851,3274,0,0,0,0,0,0,0,5438,8899,16429,11399,2857,0,0,0,0,0,0,7141,13286,13246,20225,13196,3292,0,0,0,0,0,0,9954,13034,22519,34091,20258,7104,2911,1781,2146,2129,484,865,16440,22546,35216,34118,26795,12474,2502,1500,2146,2129,3197,4332,18225,22823,39202,38890,29241,13757,6443,2824,3389,2427,4246,7426,14647,29779,38622,47231,33263,12573,0,0
Johnstone Creek Park,ok,0,0,0,0,1270.5,2348.5,3738,4287.5,1540,0,0,0,0,0,0,0,647.5,2614.5,3724,4179,1911,0,0,0,0,0,0,0,899.5,1599.5,2996,3080,1337,1442,0,0,0,0,0,0,703.5,1708,2646,2982,693,0,0,0,0,0,0,0,0,1662.5,2408,2975,2807,0,0,0,0,0,0,0,1015,2047.5,3076.5,2306.5,4613,0,0,0,0,0,0,0,0,0,3143,2765,1106,0,0,0,0,0,0,0,798,2117.5,3146.5,2926,1361.5,0,0,0,0,0,0,0,773.5,1925,2891,2548,1151.5,0,0,0,0,0,0,0,1029,1970.5,2817.5,2572.5,1162,0,0,0
Juan De Fuca Park,west,12033,11770.5,16992.5,19068,26855.5,42504,46616.5,44779,25445,16730,12362,7899.5,10783.5,10360,14854,16695,20776,28885.5,47523,48821.5,28805,17248,10377.5,11375,6174,13881,14819,19523,22988,24115,42059.5,43452.5,33351.5,15701,13503,9667,10440.5,14402.5,17626,16709,24622.5,33264,54127.5,53063.5,32665.5,16915.5,13436.5,8771,20436.5,9989,16075.5,22351,21721,28504,45293.5,53651.5,32287.5,20083,14360.5,14346.5,14024.5,20587,31853.5,27223,33561.5,30348.5,40999,52591,34744.5,23247,16831.5,12652.5,19705,23758,31426.5,27282.5,35045.5,33554.5,56612.5,67014.5,32497.5,23660,19484.5,8312.5,22718.5,15508.5,25718,36263.5,36281,34279,60074,68792.5,44079,25389,17199,8207.5,35227.5,17906,23453.5,30740.5,37639,38388,61838,63815.5,42196,27881,19729.5,9264.5,14756,8900.5,13419,19705,36123.5,35042,54274.5,58187.5,43190,30026.5,25966.5,0
Juniper Beach Park,tc,0,0,0,1043,3801,3552.5,5040,5015.5,3290,1368.5,654.5,112,0,0,0,4154.5,10017,6384,4903.5,6219.5,8739.5,3447.5,689.5,689.5,0,0,0,423.5,5796,3871,3990,5547.5,6247.5,1291.5,374.5,210,210,0,0,738.5,4998,6968.5,9548,16866.5,6090,2103.5,1396.5,406,0,0,0,1918,3941,3706.5,3948,6552,3906,969.5,0,0,0,0,0,0,5015.5,3517.5,5827.5,6048,5414.5,1456,0,0,0,0,0,185.5,3594.5,3888.5,4998,7014,5134.5,1508.5,0,0,0,0,0,336,3503.5,3703,3983,6538,4805.5,1312.5,0,0,0,0,0,0,4039,3703,4935,6531,5117,1424.5,0,0,0,0,0,0,3710,3766,7434,6776,5526.5,899.5,0,0
Kakwa Park,north,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kalamalka Lake Park,ok,0,0,0,57399.5,27919.5,26155.5,58008.5,47400,33453,23845.5,0,0,0,0,0,35106,37973,37726.5,50816,53817.5,35125.5,28326.5,0,0,0,0,0,45355.5,34907.5,28156,54344,51791.5,23145,22501.5,0,0,0,0,0,36260,37123,33832.5,58983,50663.5,23217,28373,0,0,0,0,0,38903.5,38034,41111.5,59811.5,50554,21854.5,28619,0,0,0,0,0,54557,47383,49387.5,56042,49336,25589.5,27066.5,0,0,0,0,0,41863.5,44276,47305,63965,61176.5,22887.5,27873,0,0,0,0,0,34476,47460,42265,49889,48421,33213,28005.5,0,0,0,0,0,31179.5,47671.5,40658,59206.5,42071.5,27222,27852,0,0,0,0,0,31048,44276,45128.5,55652,59708,30728.5,28224,0,0
